,Rank,Participant,Result,Event,Year
0,G,Jean BOITEUX  FRA,4.30.7,400m-freestyle-men,1952
1,S,Ford KONNO  USA,4.31.3,400m-freestyle-men,1952
2,B,Per-Olof ÖSTRAND  SWE,4.35.2,400m-freestyle-men,1952
3,4.,Peter DUNCAN  RSA,4.37.9,400m-freestyle-men,1952
4,5.,John WARDROP  GBR,4.39.9,400m-freestyle-men,1952
5,6.,Wayne MOORE  USA,4.40.1,400m-freestyle-men,1952
6,7.,James MCLANE  USA,4.40.3,400m-freestyle-men,1952
7,8.,Hironoshin FURUHASHI  JPN,4.42.1,400m-freestyle-men,1952
8,G,John DAVIES  AUS,2.34.4,200m-breaststroke-men,1952
9,S,Bowen STASSFORTH  USA,2.34.7,200m-breaststroke-men,1952
10,B,Herbert KLEIN  GER,2.35.9,200m-breaststroke-men,1952
11,4.,Nobuyasu HIRAYAMA  JPN,2.37.4,200m-breaststroke-men,1952
12,5.,Takayoshi KAJIKAWA  JPN,2.38.6,200m-breaststroke-men,1952
13,6.,Jiro NAGASAWA  JPN,2.39.1,200m-breaststroke-men,1952
14,7.,Maurice LUSIEN  FRA,2.39.8,200m-breaststroke-men,1952
15,8.,Ludevit KOMADEL  TCH,2.40.1,200m-breaststroke-men,1952
16,G,Clarke SCHOLES  USA,57.4,100m-freestyle-men,1952
17,S,Hiroshi SUZUKI  JPN,57.4,100m-freestyle-men,1952
18,B,Göran LARSSON  SWE,58.2,100m-freestyle-men,1952
19,4.,Toru GOTO  JPN,58.5,100m-freestyle-men,1952
20,5.,Géza KÁDAS  HUN,58.6,100m-freestyle-men,1952
21,6.,Rex AUBREY  AUS,58.7,100m-freestyle-men,1952
22,7.,Aldo EMINENTE  FRA,58.7,100m-freestyle-men,1952
23,8.,Ronald GORA  USA,58.8,100m-freestyle-men,1952
24,G,United States of America,8.31.1,4x200m-freestyle-relay-men,1952
25,S,Japan,8.33.5,4x200m-freestyle-relay-men,1952
26,B,France,8.45.9,4x200m-freestyle-relay-men,1952
27,4.,Sweden,8.46.8,4x200m-freestyle-relay-men,1952
28,5.,Hungary,8.52.6,4x200m-freestyle-relay-men,1952
29,6.,Great Britain,8.52.9,4x200m-freestyle-relay-men,1952
30,7.,South Africa,8.55.1,4x200m-freestyle-relay-men,1952
31,8.,Argentina,8.56.9,4x200m-freestyle-relay-men,1952
32,G,Yoshinobu OYAKAWA  USA,1.05.4,100m-backstroke-men,1952
33,S,Gilbert BOZON  FRA,1.06.2,100m-backstroke-men,1952
34,B,Jack TAYLOR  USA,1.06.4,100m-backstroke-men,1952
35,4.,Allen STACK  USA,1.07.6,100m-backstroke-men,1952
36,5.,Pedro GALVAO  ARG,1.07.7,100m-backstroke-men,1952
37,6.,Robert WARDROP  GBR,1.07.8,100m-backstroke-men,1952
38,7.,Boris SKANATA  YUG,1.08.1,100m-backstroke-men,1952
39,8.,Nicolaas Lingen MEIRING  RSA,1.08.3,100m-backstroke-men,1952
40,G,Joan HARRISON  RSA,1.14.3,100m-backstroke-women,1952
41,S,Geertje WIELEMA  NED,1.14.5,100m-backstroke-women,1952
42,B,Jean STEWART  NZL,1.15.8,100m-backstroke-women,1952
43,4.,Johanna Catharina DE KORTE  NED,1.15.8,100m-backstroke-women,1952
44,5.,Barbara Lynn STARK  USA,1.16.2,100m-backstroke-women,1952
45,6.,Gertrud HERRBRUCK  GER,1.18.0,100m-backstroke-women,1952
46,7.,Margaret Gibson MCDOWELL  GBR,1.18.4,100m-backstroke-women,1952
47,G,Hungary,4.24.4,4x100m-freestyle-relay-women,1952
48,S,Netherlands,4.29.0,4x100m-freestyle-relay-women,1952
49,B,United States of America,4.30.1,4x100m-freestyle-relay-women,1952
50,4.,Denmark,4.36.2,4x100m-freestyle-relay-women,1952
51,5.,Great Britain,4.37.8,4x100m-freestyle-relay-women,1952
52,6.,Sweden,4.39.0,4x100m-freestyle-relay-women,1952
53,7.,Germany,4.40.3,4x100m-freestyle-relay-women,1952
54,8.,France,4.44.1,4x100m-freestyle-relay-women,1952
55,G,Katalin SZOKE  HUN,1.06.8,100m-freestyle-women,1952
56,S,Johanna Maria TERMEULEN  NED,1.07.0,100m-freestyle-women,1952
57,B,Judit TEMES  HUN,1.07.1,100m-freestyle-women,1952
58,4.,Joan HARRISON  RSA,1.07.1,100m-freestyle-women,1952
59,5.,Joan ALDERSON  USA,1.07.1,100m-freestyle-women,1952
60,6.,Irma SCHUHMACHER  NED,1.07.3,100m-freestyle-women,1952
61,7.,Marilee STEPAN  USA,1.08.0,100m-freestyle-women,1952
62,8.,Angela Mary BARNWELL  GBR,1.08.6,100m-freestyle-women,1952
63,G,Valéria GYENGE  HUN,5.12.1,400m-freestyle-women,1952
64,S,Éva NOVÁK  HUN,5.13.7,400m-freestyle-women,1952
65,B,Evelyn KAWAMOTO  USA,5.14.6,400m-freestyle-women,1952
66,4.,Carolyn GREEN  USA,5.16.5,400m-freestyle-women,1952
67,5.,Ragnhild HVEGER  DEN,5.16.9,400m-freestyle-women,1952
68,6.,Eva SZEKELY  HUN,5.17.9,400m-freestyle-women,1952
69,7.,Ana Maria SCHULTZ  ARG,5.24.0,400m-freestyle-women,1952
70,8.,Greta ANDERSEN  DEN,5.27.7,400m-freestyle-women,1952
71,G,Eva SZEKELY  HUN,2.51.7,200m-breaststroke-women,1952
72,S,Éva NOVÁK  HUN,2.54.4,200m-breaststroke-women,1952
73,B,Helen GORDON  GBR,2.57.6,200m-breaststroke-women,1952
74,4.,Klara KILLERMAN BARTOS  HUN,2.57.6,200m-breaststroke-women,1952
75,5.,Jytte HANSEN  DEN,2.57.8,200m-breaststroke-women,1952
76,6.,Mariya GAVRISH  URS,2.58.9,200m-breaststroke-women,1952
77,7.,Ulla-Britt EKLUND  SWE,3.01.8,200m-breaststroke-women,1952
78,8.,Petronella Fredrika GARRITSEN  NED,3.02.1,200m-breaststroke-women,1952
79,G,George HODGSON  CAN,5.24.4,400m-freestyle-men,1912
80,S,John Gatenby HATFIELD  GBR,5.25.8,400m-freestyle-men,1912
81,B,Harold HARDWICK  ANZ,5.31.2,400m-freestyle-men,1912
82,G,Walter BATHE  GER,3.01.8,200m-breaststroke-men,1912
83,S,Wilhelm LÜTZOW  GER,3.05.0,200m-breaststroke-men,1912
84,B,Kurt Paul MALISCH  GER,3.08.0,200m-breaststroke-men,1912
85,G,Walter BATHE  GER,6.29.6,400m-breaststroke-men,1912
86,S,Thor HENNING  SWE,6.35.6,400m-breaststroke-men,1912
87,B,Percy COURTMAN  GBR,6.36.4,400m-breaststroke-men,1912
88,G,Duke KAHANAMOKU  USA,1.03.4,100m-freestyle-men,1912
89,S,Cecil HEALY  ANZ,1.04.6,100m-freestyle-men,1912
90,B,Kenneth HUSZAGH  USA,1.05.6,100m-freestyle-men,1912
91,G,Australasia (1908-1912),10.11.6,4x200m-freestyle-relay-men,1912
92,S,United States of America,10.20.2,4x200m-freestyle-relay-men,1912
93,B,Great Britain,10.28.2,4x200m-freestyle-relay-men,1912
94,G,Harry HEBNER  USA,1.21.2,100m-backstroke-men,1912
95,S,Otto FAHR  GER,1.22.4,100m-backstroke-men,1912
96,B,Paul KELLNER  GER,1.24.0,100m-backstroke-men,1912
97,4.,András BARONYI  HUN,1.25.2,100m-backstroke-men,1912
98,5.,Otto GROSS  GER,1.25.8,100m-backstroke-men,1912
99,G,Great Britain,5.52.8,4x100m-freestyle-relay-women,1912
100,S,Germany,6.04.6,4x100m-freestyle-relay-women,1912
101,B,Austria,6.17.0,4x100m-freestyle-relay-women,1912
102,G,Fanny DURACK  ANZ,1.22.2,100m-freestyle-women,1912
103,S,Wilhelmina WYLIE  ANZ,1.25.4,100m-freestyle-women,1912
104,B,Jennie FLETCHER  GBR,1.27.0,100m-freestyle-women,1912
105,G,Norman ROSS  USA,5.26.8,400m-freestyle-men,1920
106,S,Ludy LANGER  USA,5.29.0,400m-freestyle-men,1920
107,B,George VERNOT  CAN,5.29.6,400m-freestyle-men,1920
110,G,Hakan MALMROT  SWE,3.04.4,200m-breaststroke-men,1920
111,S,Thor HENNING  SWE,3.09.2,200m-breaststroke-men,1920
112,B,Arvo AALTONEN  FIN,3.12.2,200m-breaststroke-men,1920
113,G,Hakan MALMROT  SWE,6.31.8,400m-breaststroke-men,1920
114,S,Thor HENNING  SWE,6.45.2,400m-breaststroke-men,1920
115,B,Arvo AALTONEN  FIN,6.48.0,400m-breaststroke-men,1920
116,4.,Jack Zophar HOWELL  USA,6.51.0,400m-breaststroke-men,1920
117,G,Duke KAHANAMOKU  USA,1.01.4,100m-freestyle-men,1920
118,S,Pua Kela KEALOHA  USA,1.02.6,100m-freestyle-men,1920
119,B,William HARRIS  USA,1.03.0,100m-freestyle-men,1920
120,4.,William HERALD  AUS,1.03.8,100m-freestyle-men,1920
123,G,United States of America,10.04.4,4x200m-freestyle-relay-men,1920
124,S,Australia,10.25.4,4x200m-freestyle-relay-men,1920
125,B,Great Britain,10.37.2,4x200m-freestyle-relay-men,1920
126,4.,Sweden,10.50.2,4x200m-freestyle-relay-men,1920
127,G,Warren Paoa KEALOHA  USA,1.15.2,100m-backstroke-men,1920
128,S,Raymond KEGERIS  USA,1.16.8,100m-backstroke-men,1920
129,B,Gérard BLITZ  BEL,1.19.0,100m-backstroke-men,1920
130,4.,Perry MCGILLIVRAY  USA,1.19.4,100m-backstroke-men,1920
131,G,United States of America,5.11.6,4x100m-freestyle-relay-women,1920
132,S,Great Britain,5.40.8,4x100m-freestyle-relay-women,1920
133,B,Sweden,5.43.6,4x100m-freestyle-relay-women,1920
134,G,Ethelda BLEIBTREY  USA,1.13.6,100m-freestyle-women,1920
135,S,Irene GUEST  USA,1.17.0,100m-freestyle-women,1920
136,B,Frances SCHROTH  USA,1.17.2,100m-freestyle-women,1920
137,4.,Constance JEANS  GBR,1.22.8,100m-freestyle-women,1920
140,G,Ethelda BLEIBTREY  USA,4.34.0,400m-freestyle-women,1920
141,S,Margaret WOODBRIDGE  USA,4.42.8,400m-freestyle-women,1920
142,B,Frances SCHROTH  USA,4.52.0,400m-freestyle-women,1920
143,4.,Constance JEANS  GBR,4.52.4,400m-freestyle-women,1920
146,G,Johnny WEISSMULLER  USA,5.04.2,400m-freestyle-men,1924
147,S,Arne BORG  SWE,5.05.6,400m-freestyle-men,1924
148,B,Andrew CHARLTON  AUS,5.06.6,400m-freestyle-men,1924
149,4.,Åke BORG  SWE,5.26.0,400m-freestyle-men,1924
150,5.,John Gatenby HATFIELD  GBR,5.32.0,400m-freestyle-men,1924
151,G,Robert SKELTON  USA,2.56.6,200m-breaststroke-men,1924
152,S,Joseph DE COMBE  BEL,2.59.2,200m-breaststroke-men,1924
153,B,William KIRSCHBAUM  USA,3.01.0,200m-breaststroke-men,1924
154,4.,Bengt LINDERS  SWE,3.02.2,200m-breaststroke-men,1924
155,5.,Robert WYSS  SUI,3.05.6,200m-breaststroke-men,1924
156,G,Johnny WEISSMULLER  USA,0.59.0,100m-freestyle-men,1924
157,S,Duke KAHANAMOKU  USA,1.01.4,100m-freestyle-men,1924
158,B,Samuel KAHANAMOKU  USA,1.01.8,100m-freestyle-men,1924
159,4.,Arne BORG  SWE,1.02.0,100m-freestyle-men,1924
160,5.,Katsuo TAKAISHI  JPN,1.03.0,100m-freestyle-men,1924
161,G,United States of America,9.53.4,4x200m-freestyle-relay-men,1924
162,S,Australia,10.02.2,4x200m-freestyle-relay-men,1924
163,B,Sweden,10.06.8,4x200m-freestyle-relay-men,1924
164,4.,Japan,10.15.2,4x200m-freestyle-relay-men,1924
165,5.,Great Britain,10.29.4,4x200m-freestyle-relay-men,1924
166,G,Warren Paoa KEALOHA  USA,1.13.2,100m-backstroke-men,1924
167,S,Paul WYATT  USA,1.15.4,100m-backstroke-men,1924
168,B,Károly BARTHA  HUN,1.17.6,100m-backstroke-men,1924
169,4.,Gérard BLITZ  BEL,1.19.6,100m-backstroke-men,1924
170,5.,Austin RAWLINSON  GBR,1.20.0,100m-backstroke-men,1924
171,G,Sybil BAUER  USA,1.23.2,100m-backstroke-women,1924
172,S,Phyllis HARDING  GBR,1.27.4,100m-backstroke-women,1924
173,B,Aileen RIGGIN  USA,1.28.2,100m-backstroke-women,1924
174,4.,Florence CHAMBERS  USA,1.30.8,100m-backstroke-women,1924
175,5.,Jarmila MÜLLEROVA  TCH,1.31.2,100m-backstroke-women,1924
176,G,United States of America,4.58.8,4x100m-freestyle-relay-women,1924
